"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ABFRL",51,255.51,74.77,13031.15,3813.27,-9217.88,-70.74,0.51,""
"ITCHOTELS",7,685.1,225.74,4795.71,1580.18,-3215.53,-67.05,0.91,""
"INDUSINDBK",70,1455.52,860.3,101886.65,60221,-41665.65,-40.89,2.89,""
"SIEMENS",7,5238.45,3199,36669.13,22393,-14276.13,-38.93,1.08,""
"SONACOMS",54,719.69,480,38863.05,25920,-12943.05,-33.3,-0.17,""
"TATAMOTORS",48,1003.2,687.5,48153.8,33000,-15153.8,-31.47,0.7,""
"DEEPAKNTR",13,2872.34,1985,37340.45,25805,-11535.45,-30.89,0.79,""
"IOB",546,53.97,38.12,29470.22,20813.52,-8656.7,-29.37,0.79,""
"MATRIMONY",33,751.51,535.35,24799.85,17666.55,-7133.3,-28.76,-0.57,""
"BAJAJ-AUTO",3,11858.1,8470,35574.3,25410,-10164.3,-28.57,0.44,""
"RECLTD",75,559.51,402.3,41963.15,30172.5,-11790.65,-28.1,-0.31,""
"SYNGENE",33,895.75,647.8,29559.75,21377.4,-8182.35,-27.68,0.33,""
"VBL",100,636.3,461.9,63630.14,46190,-17440.14,-27.41,0.76,""
"ASTRAL",49,2052.12,1500,100553.95,73500,-27053.95,-26.9,-1.46,""
"CONCOR",70,1022.36,757,71565.35,52990,-18575.35,-25.96,0.37,""
"SUNTV",31,794.95,598.6,24643.35,18556.6,-6086.75,-24.7,1.48,""
"AUROPHARMA",21,1491.48,1125,31321,23625,-7696,-24.57,0.16,""
"RVNL",63,520.72,395.85,32805.65,24938.55,-7867.1,-23.98,-0.93,""
"ABB",9,7992.68,6080,71934.1,54720,-17214.1,-23.93,1.12,""
"VSTIND",71,389.45,296.75,27651,21069.25,-6581.75,-23.8,1.8,""
"GODREJPROP",12,3071.87,2362.3,36862.45,28347.6,-8514.85,-23.1,-1.23,""
"LTTS",4,5682.53,4392,22730.1,17568,-5162.1,-22.71,1.69,""
"MOTHERSON",87,199.66,155,17370.24,13485,-3885.24,-22.37,0.4,""
"SJVN",295,128.94,100.09,38036.76,29526.55,-8510.21,-22.37,0.09,""
"ALKEM",4,6257.44,4910,25029.75,19640,-5389.75,-21.53,1.43,""
"DABUR",22,610.07,485,13421.6,10670,-2751.6,-20.5,0.72,""
"KPITTECH",11,1592.64,1267.5,17519,13942.5,-3576.5,-20.41,-0.66,""
"ACC",13,2412.17,1920.2,31358.2,24962.6,-6395.6,-20.4,2.05,""
"COALINDIA",54,496.78,395.7,26825.9,21367.8,-5458.1,-20.35,0.39,""
"BALKRISIND",18,3086.75,2463.4,55561.55,44341.2,-11220.35,-20.19,1.24,""
"LICHSGFIN",60,763.44,611.9,45806.35,36714,-9092.35,-19.85,-1.63,""
"TCS",3,4278.6,3441.1,12835.8,10323.3,-2512.5,-19.57,-0.02,""
"NTPC",42,416.49,335.75,17492.65,14101.5,-3391.15,-19.39,-0.42,""
"BHARATFORG",58,1621.48,1312,94046.05,76096,-17950.05,-19.09,1.98,""
"ONGC",147,299.47,244.4,44022.5,35926.8,-8095.7,-18.39,-0.13,""
"ADANIPOWER",134,715.84,584.25,95922.3,78289.5,-17632.8,-18.38,1.06,""
"IRCTC",64,950.65,785,60841.4,50240,-10601.4,-17.42,1.55,""
"GODREJCP",39,1430.23,1182,55778.8,46098,-9680.8,-17.36,-0.19,""
"GUJGASLTD",59,569.92,471.85,33625,27839.15,-5785.85,-17.21,2.3,""
"OIL",43,524.15,436.4,22538.4,18765.2,-3773.2,-16.74,-1.33,""
"GAIL",288,228.58,190.98,65830.76,55002.24,-10828.52,-16.45,2.24,""
"ESCORTS",12,3996.99,3341.6,47963.9,40099.2,-7864.7,-16.4,-0.49,""
"PETRONET",110,362.14,302.85,39835.55,33313.5,-6522.05,-16.37,1.02,""
"SUPREMEIND",11,5143.26,4321.5,56575.85,47536.5,-9039.35,-15.98,-1.21,""
"INFY",22,1903.8,1611,41883.7,35442,-6441.7,-15.38,-0.31,""
"IGL",100,252.49,214.1,25249.1,21410,-3839.1,-15.2,2.77,""
"APOLLOTYRE",49,524.67,446,25708.95,21854,-3854.95,-14.99,-0.13,""
"M&MFIN",107,321.04,273,34351.4,29211,-5140.4,-14.96,1.49,""
"PFC",60,494.49,421,29669.25,25260,-4409.25,-14.86,0.18,""
"IRB",484,57.57,49.66,27863.01,24035.44,-3827.57,-13.74,-1.15,""
"HDFCMOMENT",490,37.08,32.12,18167.81,15738.8,-2429.01,-13.37,0.03,""
"TATACOMM",28,1939.36,1680.5,54302.05,47054,-7248.05,-13.35,0.45,""
"AMBUJACEM",99,662.32,575,65570.1,56925,-8645.1,-13.18,1.46,""
"NMDC",723,80.46,69.99,58169.5,50602.77,-7566.73,-13.01,-0.79,""
"SAIL",592,150.55,131.74,89124.2,77990.08,-11134.12,-12.49,-1.41,""
"CUMMINSIND",26,3805.88,3358.4,98952.8,87318.4,-11634.4,-11.76,-0.18,""
"POWERGRID",146,337.89,299,49331.25,43654,-5677.25,-11.51,1.87,""
"HAVELLS",14,1770.85,1568.4,24791.9,21957.6,-2834.3,-11.43,-0.36,""
